Rank,Attraction
1,Musée d'Orsay
2,Old Town
3,Basilique Notre Dame de la Garde
4,Vieux Lyon
5,Place de la Bourse
6,La Petite France
7,Le Capitole
8,Plage de la Grande Conque
9,Castle Hill of Nice
10,Disneyland Paris
11,Vieux-Lille
12,Walt Disney Studios Park
13,Iles de Lerins
14,Cathedrale Notre Dame de Strasbourg
15,Jardin des Plantes
16,Musee Fabre
17,Aiguille du Midi
18,Aquarium La Rochelle
19,Lake Annecy
20,Gorges de la Restonica
21,"Le Sentier du Littoral, Cap d'Antibes"
22,Val d'Europe
23,Hotel de Caumont - Art Centre
24,Cathedrale Notre-Dame de Reims
25,The Hall of Mirrors
26,The Water Mirror
27,La Croisette
28,Old Town
29,Parc National des Calanques
30,Palais des Papes
