Rank,Attraction
1,Freiburg Cathedral
2,Münsterplatz
3,Schlossberg
4,Mundenhof
5,Bachle
6,Augustiner Museum
7,Seepark
8,MarktHalle
9,Historisches Kaufhaus
10,Schwabentor
11,Schwarzwald-Stadion
12,Martinstor
13,New Town Hall
14,Freiburg Tourist Information Centre
15,Japanischer Garten
16,Universitätsbibliothek Freiburg
17,Augustinerplatz
18,Albert Ludwigs Universitat Freiburg
19,Freiburger Muenstermarkt
20,Alter Friedhof
21,Archaologisches Museum Colombischlossle
22,The Old Synagogue Square
23,Opfinger See
24,Fischbrunnen
25,Wiwilibrucke Blaue Brucke
26,Museum fur Neue Kunst
27,Museum fuer Stadtgeschichte
28,Brauerei Ganter
29,Haus der Graphischen Sammlung im Augustinermuseum
30,Museum Natur und Mensch
