Rank,Attraction
1,The Star
2,Dr Pepper Ballpark
3,National Videogame Museum
4,Toyota Stadium
5,Frisco Commons Park
6,Stonebriar Centre
7,The Museum of the American Railroad
8,The Ford Center at The Star
9,Stonebriar Community Church
10,Frisco Public Library
11,Hanuman Temple
12,Texas Sculpture Garden
13,Frisco Heritage Museum
14,Hope Park
15,KidZania USA
16,TrainTopia
17,Frisco Fresh Market
18,Frisco Discovery Center
19,Cork & Growler
20,Frisco Soccer Complex
21,Comerica Center
22,Play Street Museum - Frisco
23,Sci-Tech Discovery Center
24,Theatre Frisco
25,Frisco Central Park
26,MLS National Soccer Hall Of Fame
27,Texas Legends
28,EQ Kids Club
29,Meadow Creek Trailhead to Lily Pad Lake Trailhead
30,the Coop
