Rank,Attraction
1,Fullerton Arboretum
2,Laguna Lake Park
3,Fullerton Museum Center
4,Maverick Theater
5,AMC Fullerton 20
6,Muckenthaler Art and Cultural Center
7,Clayes Performing Arts Centre
8,STAGEStheatre
9,Downtown Plaza
10,Bootlegger's Brewery
11,Past times Collectibles Quality sports memorabilia
12,Zion Thrift Shop
13,Wild Goose Escapes
14,Karmel Shuttle
15,Plummer Auditorium
16,Infinity Escape
17,Anaheim Helicopters
18,Escapade Games
19,Coyote Hills Golf Course
20,Vino Nostra
21,Bourbon Street Bar & Grill
22,MouseCop Arena @ THS
23,Totally 80's Bar and Grill
24,InCahoots
25,Barrel & Stave Pour House
26,Chomp Fullerton
27,HopScotch
28,The Swig
29,The Continental Room
30,Blink! - Award Winning Comedy & Magic! Show
