Rank,Attraction
1,Zoom Erlebniswelt
2,Veltins Arena
3,Alma-Park
4,Schloss Horst
5,Nordsternpark
6,Halde Rheinelbe
7,Halde Rungenberg
8,Musiktheater im Revier
9,Schloss Berge
10,Sankt Urbanus Kirche
11,KAUE Gelsenkirchen
12,Feierabendmarkt am Dom
13,Kunstmuseum Gelsenkirchen
14,Amphitheater
15,Gelsenkirchen
16,Bleckkirche
17,Monument for a Forgotten Future
18,Schalke Museum
19,Haus Lüttinghof
20,Sir Peter Morgan  Outdoor Academy Touren
21,Car Escape Room
22,S04 Shop
23,VRoom
24,Revierpark Nienhausen
25,Holgers Erzbahnbude
26,GelsenTrabPark
27,Hauptfriedhof Gelsenkirchen Buer
28,Visit Ruhr
29,Stadtgarten
30,Sadas Thaimassage
