Rank,Attraction
1,Reichstag Building
2,Marienplatz
3,Miniatur Wunderland
4,Stadel Museum
5,Cologne Cathedral
6,Mercedes-Benz Museum
7,Classic Remise Dusseldorf
8,Main Tower
9,Altstadt
10,The Dresden Zwinger
11,Zoo Leipzig
12,Schnoor Viertel
13,Schloss Heidelberg
14,Signal Iduna Park
15,Herrenhäuser Gärten
16,Rheinturm
17,Königsallee
18,Aachen Cathedral
19,Zugspitze
20,Haus der Geschichte der Bundesrepublik Deutschland
21,Lake Constance (Bodensee)
22,Lichtentaler Allee
23,Freiburg Cathedral
24,Queen Mary's Bridge (Marienbrucke)
25,Documentation Center Nazi Party Rally Grounds
26,Europa-Park
27,Green Vault
28,Palmengarten
29,Sanssouci Park
30,Isle of Mainau
