Rank,Attraction
1,The Americana at Brand
2,Forest Lawn Memorial Park
3,Brand Park
4,Glendale Galleria
5,Glendale Centre Theatre
6,Alex Theatre
7,Museum of Neon Art
8,Deukmejian Wilderness Park
9,Beaudry Loop
10,The Parish Church of St. Mark
11,Brewyard Beer Company
12,Central Park
13,Casa Adobe De San Rafael & Park
14,Glendale City Hall
15,Power and the Passion
16,First United Methodist Church
17,Catalina Verdugo Adobe
18,Central Library
19,Fremont Park
20,Glendale City Hall Veterans Memorial
21,Glendale Presbyterian Church
22,Incarnation Catholic Church
23,Glendale Federal Savings Building
24,Griffith Park Dog Park
25,Mount Gleason
26,The VOID
27,The Glendale Tap
28,Pacific Theatres Glendale 18
29,Mignon Chocolate
30,Moonlight Rollerway
