Rank,Attraction
1,The Alhambra
2,Generalife
3,Albayzin
4,Mirador de San Nicolas
5,Nasrid Palaces
6,Basílica de San Juan de Dios
7,Sacromonte
8,Royal Chapel of Granada
9,Science Park (Parque de las Ciencias)
10,Monasterio Cartuja
11,Carrera del Darro
12,Paseo de los Tristes
13,Saint Jerome Monastery
14,Fundacion Rodriguez Acosta
15,La Alborea
16,Plaza de San Nicolas
17,Museo Cuevas del Sacromonte
18,Carmen de los Martires
19,La Madraza
20,Alcazaba
21,Mirador San Miguel Alto
22,Calle Elvira
23,Palacio de los Olvidados
24,Mezquita Mayor de Granada
25,Granada Cathedral
26,Museum of Alhambra
27,Abadia del Sacromonte
28,Plaza Bib-Rambla
29,Plaza Nueva
30,Mirador de San Cristobal
