Rank,Attraction
1,International Civil Rights Center & Museum
2,Greensboro Science Center
3,Tanger Family Bicentennial Garden
4,Guilford Courthouse National Military Park
5,The Bog Garden at Benjamin Park
6,Greensboro History Museum
7,The Greensboro Arboretum
8,LeBauer Park
9,Wet'n Wild Emerald Pointe
10,Greensboro Coliseum Complex
11,Blandwood
12,Carolina Theatre
13,Gateway Gardens
14,Lake Brandt Marina
15,BurMil Park
16,Antique Market Place
17,Ambleside Gallery
18,North Carolina Agricultural and Technical State University
19,Fainting Goat Spirits
20,Weatherspoon Art Museum
21,The Greensboro Mural Project
22,Tannenbaum Historical Park
23,Greensboro Cultural Center
24,Elsewhere
25,Country Park
26,Green Hill Center for NC Art
27,J. Douglas Galyon Depot
28,Tumblebees Ultimate Climbing Gym
29,Center City Park
30,Greensboro Public Library
