Rank,Attraction
1,Groninger Museum
2,Prinsentuin
3,Vismarkt
4,Martinitoren
5,Brouwerij Martinus
6,Hoofdstation Groningen
7,Noordelijk Scheepvaartmuseum
8,Universiteitsmuseum Groningen
9,Battlefield Tours
10,Noorderplantsoen Park
11,Synagogue Groningen
12,Bax bier proeflokaal
13,GRID Graphic Museum Groningen
14,Korenbeurs Groningen
15,Der Aa-kerk
16,Groningen Tourist Office
17,Openbaar toilet Reitemakersrijge
18,'Peerd van Ome Loeks'
19,Sint Geertruidsgasthuis
20,Nieuwe Kerk
21,Sint Anthonygasthuis
22,Victory Museum 1940-1945
23,Noordlease Stadion
24,Noorderlicht Photogallery
25,Wall House
26,Provinciehuis Groningen
27,Grand Theatre
28,Art Gallery Erik Zwezerijnen
29,Stadhuis Groningen
30,Sint Martinusparochie
