Rank,Attraction
1,Herrenhäuser Gärten
2,The New Town Hall
3,Erlebnis Zoo Hannover
4,Maschsee
5,Berggarten
6,Eilenriede - Park
7,Aegidienkirche
8,Sprengel Museum Hannover
9,Deutsche Messe AG
10,Altes Rathaus
11,Lower Saxony State Museum (Niedersachsisches Landesmuseum Hannover)
12,Altstadt
13,Luftfahrtmuseum Hannover-Laatzen
14,Tiergarten
15,Marktkirche
16,Nanas
17,TUI Arena
18,Maschpark
19,SEA LIFE Hannover
20,HDI Arena
21,Panorama am Zoo
22,Ballhofplatz
23,Staatsoper Hannover
24,Monument to Ernest Augustus
25,Monument Göttingen Sieben
26,Leibnizhaus
27,Einkaufsbahnhof Hannover Hbf
28,Museum Wilhelm Busch -  The German Museum for Caricature and the Art of Drawing
29,Kröpcke-Uhr
30,Stadtpark
