Rank,Attraction
1,Diamond Head State Monument
2,Hana Highway - Road to Hana
3,North Shore
4,Hanalei Bay
5,Mauna Kea Summit
6,Ka'anapali Beach
7,Pololu Valley Lookout
8,Midway Atoll
9,alalau Trail
10,Nakalele Blowhole
11,Anini Beach
12,Akaka Falls State Park
13,Byodo-In Temple
14,Wailua Falls
15,Makena Beach
16,Kamaole Beach Park 3
17,Waipi'o Valley
18,Waimea Valley
19,Kailua Beach Park
20,Ko Olina Lagoons
21,Maui Brewing Company
22,Kalalau Lookout
23,Lanikai Beach
24,Koloa Rum Company
25,Wailea Beach
26,Kauai Plantation Railway
27,Sleeping Giant Trail
28,Hawaii Plantation Village
29,Pearl Harbor National Memorial
30,Maui Swap Meet
