Rank,Attraction
1,Sea Fortress Suomenlinna
2,Temppeliaukio Church
3,Seurasaari Island and Open-Air Museum
4,Helsinki Cathedral
5,Old Market Hall
6,Kamppi Chapel of Silence
7,Uspenskin Cathedral (Uspenskin Katedraali)
8,Helsinki Tram System
9,Oodi Central Library
10,Ateneum
11,The Esplanadi Park
12,The National Museum of Finland
13,Senate Square
14,Helsinki Central Railway Station
15,Tallink and Silja Line - Cruises
16,Museum of Contemporary Art Kiasma
17,Natural History Museum (Luonnontieteellinen Museo)
18,Hakaniemi Market
19,Korkeasaaren Elaintarha
20,Kauppatori
21,The National Library of Finland
22,Sibelius Park
23,Linnanmaki Amusement Park
24,Stockmann Department Store
25,Kaivopuisto
26,Viking Line - Day Cruises
27,The Sibelius Monument
28,The Aalto House
29,Unique Lapland Helsinki Winter World
30,Amos Rex Art Museum
