Rank,Attraction
1,Perlan
2,Ring Road
3,Gunnuhver Hot Springs
4,Harpa Reykjavik Concert Hall and Conference Centre
5,Black Sand Beach
6,Kerid Crater
7,Selfoss Geyser
8,Godafoss
9,Hallgrimskirkja
10,National Museum of Iceland
11,Dettifoss Waterfall
12,Volcano Eyjafjallajokull
13,Aurora Reykjavik
14,Vatnajökull
15,Hofn Swimming Pool
16,Reynisfjara Beach
17,Hoffellsjokull Glacier
18,Myvatn Nature Baths (Jardbodin vid Myvatn)
19,Ljosafoss Power Station
20,Glacier Lagoon
21,The Settlement Exhibition
22,Reykjadalur Hot Springs
23,Markavollur Footgolf
24,Thingvellir National Park
25,Hrunalaug
26,The Icelandic Turf House
27,Skálholt Cathedral
28,Fjadrargljufur Canyon
29,The Husavik Whale Museum
30,Viking World
