Rank,Attraction
1,Children's Museum of Indianapolis
2,Indianapolis Motor Speedway Museum
3,Indianapolis Museum of Art
4,Lucas Oil Stadium
5,Central Canal
6,Victory Field
7,Indianapolis Zoo
8,Benjamin Harrison Presidential Site
9,Monument Circle
10,The Eiteljorg Museum
11,Indy 500
12,Eagle Creek Park
13,White River State Park
14,Bankers Life Fieldhouse
15,Indiana Convention Center
16,Indiana War Memorial
17,Indiana State Museum
18,Garfield Park Conservatory & Sunken Garden
19,Indiana State Capitol
20,Holliday Park
21,Soldiers & Sailors Monument
22,Crown Hill Cemetery
23,Rhythm! Discovery Center
24,Fort Harrison State Park
25,Indy Racing Experience
26,Oldfields-Lilly House and Gardens
27,Indiana Historical Society
28,Indiana State Fairgrounds
29,Indiana Repertory Theatre
30,The Fashion Mall at Keystone
