Rank,Attraction
1,Mississippi Civil Rights Museum
2,Mississippi Museum of Natural Science
3,Mississippi State Capitol
4,Medgar Evers Home
5,Mississippi Children's Museum
6,Old Capitol Museum
7,Mississippi Museum of Art
8,Mississippi Agricultural & Forestry Museum
9,Eudora Welty House and Garden
10,Museum of Mississippi History
11,Cathead Distillery
12,LeFleur's Bluff State Park
13,Smith Robertson Museum and Cultural Center
14,The Jackson Zoo
15,Mississippi Governor's Mansion
16,Old Greyhound Bus Station
17,Mynelle Gardens
18,Farish Street Historical District
19,Jackson State University
20,Mississippi Sports Hall of Fame
21,Original First Baptist Church
22,Mississippi War Memorial Building
23,Cathedral of St. Peter the Apostle
24,Belhaven University
25,Alamo Theater
26,Lamar Life Building
27,St. Andrew's Cathedral
28,Oaks Museum House
29,Russell C Davis Planetarium
30,New Stage Theatre
