Rank,Attraction
1,Athabasca Falls
2,Maligne Canyon
3,Columbia Ice Field
4,Jasper SkyTram
5,Pyramid and Patricia Lakes
6,Marmot Basin Ski Area
7,Bald Hills
8,Jasper Information Centre
9,The Jasper Planetarium
10,Old Fort Point Loop Trail
11,Highway 93A
12,Opal Hills
13,Jasper Discovery Trail
14,Mountain Galleries Fairmont Jasper Park Lodge
15,Our Native Land
16,The Den - Jasper's Wildlife Museum
17,Jasper Art Gallery
18,Jasper Station
19,Jasper Community Habitat for the Arts
20,Ogre Canyon
21,Mina - Riley Lakes Loop
22,Freewheel cycle
23,Two Brothers Totem Pole
24,Morro Peak
25,Jasper Municipal Library
26,Jasper Rafting Adventures
27,Jasper Tour Company
28,Wild Current Outfitters
29,Jasper Motorcycle Tours Day Tours
30,Rockaboo Mountain Adventures
