Rank,Attraction
1,Bergpark
2,Hercules Monument
3,Schloss Wilhelmshohe
4,Wasserkuenste
5,Orangerie
6,Löwenburg Castle
7,Museum fuer Sepulkralkultur
8,Grimm World
9,Staatspark Karlsaue
10,Naturkundemuseum im Ottoneum
11,Markthalle Kassel
12,Weinbergbunker Kassel
13,Steinhofer Wasserfall
14,Technik-Museum Kassel
15,Documenta and Museum Fridericianum
16,"Caricatura, Galerie fuer Komische Kunst"
17,Braumanufaktur Steckenpferd
18,Kongress Palais Kassel Stadthalle
19,Man walking to the sky
20,DEZ Einkaufszentrum
21,"Hessisches Landesmuseum, Kassel"
22,Neue Galerie
23,Stadtmuseum
24,Auebad
25,Staatstheater Kassel
26,Botanischer Garten Kassel
27,Marmorbad
28,Stadthallengarten
29,Martinskirche
30,Tourist Information Innenstadt
