Rank,Attraction
1,Ninth Fort
2,Old Town Kaunas
3,Sugihara House
4,Akropolis
5,Devil's Museum
6,Cathedral of St. Peter and St. Paul
7,Pazaislis Monastery
8,National M. K. Ciurlionis Art Museum
9,Kaunas Castle
10,Museum of History of Lithuanian Medicine and Pharmacy
11,Atomic KGB Bunker
12,Laisves aleja (Liberty Boulevard)
13,Christ's Resurrection Church
14,Kaunas Town Hall
15,Vytautas the Great War Museum
16,Aleksotas Hill
17,Zalgirio Arena
18,Church of St. Michael the Archangel
19,Mega Shopping and Leisure Center
20,Kaunas City Museum
21,Kaunas Botanical Garden
22,Juniper Valley
23,Stumbras Museum
24,Perkuno House
25,Lithuanian Aviation Museum
26,Museum for the Blind
27,Lietuvos Zoologijos Sodas
28,St. Gertrude's Church
29,Museum of Illusions Kaunas
30,Blessed Virgin Mary Church
