Rank,Attraction
1,Kazan Kremlin
2,Kul Sharif Mosque
3,Bauman Street (Kazansky Arbat)
4,Agricultural Palace
5,Kremlyovskaya Embankment
6,"Museum ""Tatarskaya Sloboda"""
7,Kazan Family Center/ Viewpoint
8,Museum of Chak-Chak
9,Kazan Arena Stadium
10,Natural History of Tatarstan Museum
11,Konstantin Vasilyev's Museum
12,Blue Lakes
13,Museum of Soviet Life
14,Nizhniy Kaban Lake
15,Slava Zaitsev's Art Gallery and Studio
16,Ferris Wheel Vokrug Sveta
17,Ekiyat Tatar Puppet Theater
18,Leaning Suyumbike Tower
19,Cathedral of the Apostles Peter and Paul
20,Annunciation Cathedral
21,Monument Cat Kazan
22,Gorkiy Central Park of Culture and Recreation
23,"Monument to Tatar Pie ""Echpochmak"""
24,Hermitage - Kazan Center
25,Ushkova House
26,Kazan Virgin Monastery
27,Monument Dragon Zilant
28,Na Bulake Youth Theater
29,Al-Marjani Mosque
30,Epiphany Cathedral
