Rank,Attraction
1,U-Boot U 995
2,Laboe Naval Memorial (Marine-Ehrenmal)
3,Kiel Botanical Gardens
4,Kiellinie
5,Kieler Woche
6,Schleusenanlage Kiel-Holtenau
7,St. Nikolai Church
8,Zoologisches Museum
9,Schifffahrtsmuseum
10,Falckensteiner Strand
11,Kiel Rathaus Paternoster
12,Citti-Park
13,Bulker Leuchtturm
14,Hiroshimapark
15,Schrevenpark
16,Aquarium Kiel
17,Kiel Canal
18,Kunsthalle Kiel
19,Rathausturm Kiel
20,Holtenau Nord Lighthouse
21,Holtenauer Straﬂe
22,Flandernbunker
23,Alter Botanischer Garten
24,Holstenstraﬂe
25,Denkmal Zar Peter III
26,Hauptbahnhof
27,Wunderino Arena
28,Seebad Duesternbrook
29,Kleiner Kiel
30,Ratsdienergarten
