Rank,Attraction
1,Ethnographic Museum (Muzeu Etnologjik)
2,Germia Park
3,Mother Teresa Cathedral
4,Newborn Monument
5,Batlava Lake
6,ALBI Shopping Mall
7,Bill Clinton Statue
8,Fatih Mosque (Xhamia e Mbretit)
9,Skanderbeg statue
10,Kosovo Museum
11,Marble Cave
12,Kalaja Fortress
13,Bazaar
14,Statue of Mother Tereza
15,Illusium
16,Field of Blackbirds
17,Rugova Mountains
18,Grand Store
19,Patriarchate of Pec
20,Pristina City Stadium
21,Clock Tower (Sahat Kulla)
22,Royal Mall
23,Xhamia e Llapit
24,Carshia Mosque (Xhamia e Carshise)
25,The National Gallery of Kosovo
26,Shadervani Fountain
27,Parku i Qytetit
28,Sinan Pasha Mosque
29,Luboteni Mountain
30,Stacion - Center for Contemporary Art Prishtina
