Rank,Attraction
1,Kirovohrad Arboretum
2,Kropivnitsky Kirovohrad Ukraine Music Drama Theatre
3,Ukraine Guardian Angel
4,Kirovohrad Art Museum
5,Church Protection of the Holy Virgin
6,Scythian Statues Open Air Exhibition
7,Transfiguration Cathedral
8,Elisavetgrad Jews Museum
9,Elisavetgrad Art Gallery
10,Kovalevsky Park
11,Khutor Nadiya Museum-Reserve
12,Alexandr Pashutin Statue
13,Kirovohrad Local Lore Museum
14,Church of the Annunciation of the Blessed Virgin
15,Bohdan Khmelnitskiy Monument
16,Complex of Former Junker Academy
17,St. Daniel Spring
18,Ingul River
19,Holy Spirit Rome Catholic Cathedral
20,Madonna Nativity Cathedral
21,Osmerkin Art-Memorial Museum
22,Saint Elizabeth Fortress
23,Kropivnitsky Memorial Museum
24,Archaeology Museum
25,Park Pushkina
26,Former Goldenberg Balneary
27,Love Arrow
28,Ukrainian Choreography Art History Museum
29,Park Pobedy
30,Kirovohrad Academic Regional Puppet Theatre
