Rank,Attraction
1,The Holy  Dormition Kyiv Caves Lavra
2,Rodina Mat (Motherland)
3,Andreyevskiy Spusk
4,Saint Sophia Cathedral
5,Khreshchatyk
6,National Museum of the History of Ukraine in the Second World War
7,Oleg Antonov State Aviation Museum
8,Pyrohovo Open-Air Museum
9,Taras Shevchenko National Opera and Ballet Theatre of Ukraine
10,Mykola Syadristy Microminiatures Museum
11,St  Michael's Golden Domed Monastery
12,Maidan Nezalezhnosti
13,Park Landscape Alley
14,Mariinsky Park
15,Mikhail Bulgakov Museum
16,Grishko Central Botanical Garden
17,St. Volodymyr's Cathedral
18,Insomnia Haunted House Kyiv
19,Shevchenko Park
20,Parkovy Pedestrian Bridge
21,Feofania Park
22,National Reserve Sophia Kievskaya
23,Chernobyl National Museum
24,St. Nicolas Cathedral
25,St. Cyril's Monastery
26,Museum of the Toilette History
27,Olympic National Sports Complex
28,The House with Chimeras
29,St. Andrew's Church
30,Arsenalna Metro Station
