Rank,Attraction
1,Vermilionville
2,Lake Martin Rookery
3,Cathedral of St John the Evangelist
4,Acadian Village
5,Lafayette Science Museum
6,Acadian Cultural Center
7,Alexandre Mouton House
8,Children's Museum of Acadiana
9,Cajundome & Convention Center
10,Evangeline State Park
11,Lafayette Farmers and Artisans Market
12,Acadiana Mall
13,Lafayette Convention  & Visitors Commission
14,Acadiana Park Nature Station
15,Paul and Lulu Hilliard University Art Museum
16,Girard Park Center
17,Sans Souci Fine Crafts Gallery
18,The Acadiana Center for the Arts
19,Jump Zone
20,Louisiana Airborne Memorial Bridge and Monument
21,Heymann Performing Arts & Convention Center
22,Play and Learn With Me
23,Lafayette Art Gallery
24,Azalea Trail
25,Lafayette Jockey Lot Flea Market
26,Urns of Justice
27,Rank Wildcat Spirits
28,Eunice Museum
29,Cites des Arts
30,Cajun Food Tours
