Rank,Attraction
1,Circle B Bar Reserve
2,Hollis Garden
3,Joker Marchant Stadium
4,Lake Mirror
5,Frank Lloyd Wright at Florida Southern College
6,Common Ground Park
7,Lake Hollingsworth
8,Lake Morton
9,Colt Creek State Park
10,Lake Parker Park
11,Polk Museum of Art
12,Aerospace Discovery at the Florida Air Museum at Sun 'n Fun
13,Wildwood Antique Mall of Lakeland
14,Munn Park
15,Explorations V Children's Museum
16,Polk Theatre
17,RP Funding Center
18,Barnett Family Park
19,Swan Brewing
20,Lake Bonny Park
21,Saddle Creek Park
22,Wing Chun Kung Fu Downtown Lakeland
23,Lakeside Village
24,Holloway Park
25,Tenoroc Fish Management Area
26,Frances Langford Promenade
27,Florida Polytechnic University
28,Lakeland Public Library
29,Kelly Recreation Complex
30,Decades Reclaimed Vintage Depot
