Rank,Attraction
1,Red Rock Canyon National Conservation Area
2,High Roller
3,The Strip
4,Fountains of Bellagio
5,The Mob Museum
6,Eiffel Tower Viewing Deck
7,Stratosphere Tower
8,Bellagio Conservatory & Botanical Garden
9,Hoover Dam
10,Welcome to Fabulous Las Vegas Sign
11,Titanic: The Artifact Exhibition
12,The LINQ Promenade
13,Fremont Street
14,"Shelby American, Inc."
15,Mount Charleston
16,KA by Cirque du Soleil
17,Mirage Volcano
18,Wynn Las Vegas Casino
19,Zak Bagans' The Haunted Museum
20,Pinball Hall of Fame
21,Counts Kustoms
22,T-Mobile Arena
23,The Neon Museum
24,The Grand Canal Shoppes at The Venetian Resort
25,Downtown Container Park
26,Zumanity - Cirque du Soleil
27,Fashion Show Mall
28,Forum Shops at Caesars Palace
29,Casino at Bellagio
30,Ellis Island Casino & Brewery
