Rank,Attraction
1,Japanischer Garten Leverkusen
2,BayArena
3,Wildpark Reuschenberg
4,Neuland-Park
5,Rathaus-Galerie
6,Bayer Cross
7,NaturGut Ophoven
8,Museum Morsbroich
9,Calevornia
10,Schiffbruecke Wuppermuendung
11,Hitdorfer See
12,Herz-Jesu-Kirche
13,Forum Leverkusen
14,Industriemuseum Freudenthaler Sensenhammer
15,Der möde Funk
16,Elefantenbrunnen
17,Katholische Kirche St. Antonius Leverkusen
18,Christuskirche
19,Erholungshaus
20,Liga 20
21,Bierborse
22,Kulturausbesserungswerk
23,Ostermann-Arena
24,Baykomm Communication Center
25,Hochbunker
26,Stadioneck Leverkusen
27,Scala
28,Pintothek Zwieback
29,Kolonie-Museum Leverkusen
30,Panorama-radweg Balkantrasse
