Rank,Attraction
1,Oceanário de Lisboa
2,Alfama
3,Mosteiro dos Jeronimos
4,Calouste Gulbenkian Museum - Founder's Collection
5,Museu Nacional do Azulejo
6,Praca do Comercio (Terreiro do Paco)
7,Estadio do Sport Lisboa e Benfica
8,Miradouro da Senhora do Monte
9,Bairro Alto
10,Miradouro da Graca (Sophia de Mello Breyner Andresen)
11,Chiado
12,Museu Coleção Berardo
13,Parque das Nacoes
14,Panteao Nacional
15,LX Factory
16,Centro Colombo
17,Palácio Nacional da Ajuda
18,25 de Abril Bridge
19,Carmo Archaeological Museum
20,Padrao dos Descobrimentos
21,Arco do Triunfo
22,Miradouro de Santa Luzia
23,Mosteiro De Sao Vicente De Fora
24,National Museum of Ancient Art
25,Torre de Belém
26,Vasco da Gama Bridge
27,Parque Eduardo VII
28,Castelo de S. Jorge
29,Santa Maria de Belem Church
30,Pavilhao do Conhecimento
