Rank,Attraction
1,Boott Cotton Mills Museum
2,Lowell National Historical Park
3,New England Quilt Museum
4,LeLacheur Park
5,Lowell National Historical Park Visitor Center
6,Boarding House Park
7,Western Avenue Studios
8,Lowell Cemetery
9,Navigation Brewing Co.
10,Merrimack Repertory Theater
11,St. Joseph the Worker Shrine
12,Whistler House Museum of Art
13,National Streetcar Museum
14,Merrimack Ales
15,Kerouac Park
16,Pollard Memorial Library
17,Eastern Canal Park
18,The Brush Art Gallery & Studios
19,John E. Sheehy Memorial Park
20,Edson Cemetery
21,Mogan Cultural Center
22,Arts League of Lowell - ALL
23,Working People Exhibit
24,Mill No. 5
25,Back Page Jazz and Comedy Club
26,Showcase Cinemas Lowell
27,The Last Safe and Deposit Company
28,The Old Court
29,UMass Lowell Kayak Center
30,Knickerbocker Club
