Rank,Attraction
1,The Buddy Holly Center
2,National Ranching Heritage Center
3,Science Spectrum Museum
4,Silent Wings Museum
5,Prairie Dog Town
6,American Wind Power Center
7,Buddy Holly Statue and West Texas Walk of Fame
8,Joyland Amusement Park
9,Museum of Texas Tech University
10,Llano Estacado
11,Mackenzie Park
12,At'l Do Farms Corn Maze
13,Buffalo Springs Lake
14,McPherson Cellars Winery
15,"FiberMax Center for Discovery- Agriculture Heritage, Education, and Innovation"
16,Cactus Theater
17,Lake Alan Henry
18,United Supermarkets Arena
19,The Depot District
20,CapRock Winery
21,Jones AT&T Stadium @ Texas Tech University
22,Lubbock Lake Landmark
23,Lubbock Cemetery
24,Antique Mall of Lubbock
25,Lubbock Veterans Memorial
26,West Texas Polar Express Ride
27,The Brewery LBK
28,Jump N Jungle
29,Grand Central Station Antiques
30,Dunbar Historical Lake
