Rank,Attraction
1,Lubart's Castle
2,Lutsk Zoo
3,House of architect Golovan
4,Lesya Ukrainka Central Park
5,Volynskiy Regional Museum Ukrainian Military Equipment
6,Eternal Glory Memorial Complex
7,Lutsk Dungeon
8,St. Peter and St. Paul Cathedral
9,The Korsaks Museum of Contemporary Ukrainian Art
10,Trinity Cathedral
11,Mass Grave of WWII Warriors
12,Museum of Volyn Icon
13,Pokrovska Church
14,Lutheran Church
15,Books Museum
16,Teatralnaya Square
17,Technical Progress Museum
18,Bells Museum
19,Lutsk Synagogue
20,Apothecary Museum
21,Volyn Puppet Theatre
22,Volyn Museum of Local Lore
23,Lutsk Art Museum
24,Volyn Music and Drama Theatre
25,Lutsk Brotherhood Museum
26,T.G. Shevchenko Monument
27,Rotonda Beach Club
28,Children's Railway
29,Puzyna House
30,Cross Exaltation Church
