Rank,Attraction
1,Vieux Lyon
2,Musee du Cinema et de la Miniature
3,Basilique Notre Dame de Fourviere
4,Parc de la Tete d'Or
5,Les Halles de Lyon Paul Bocuse
6,Colline de Fourvière
7,Traboules du Vieux Lyon
8,Museum of Fine Arts of Lyon
9,Mur des Canuts
10,Musée des Confluences
11,Théâtres Romains de Fourvière
12,Institut & Musee Lumiere
13,Office of Tourism and Congress of Metropolis of Lyon
14,Gallo-Roman Museum
15,Fresque des Lyonnais
16,Cathédrale Saint-Jean-Baptiste de Lyon
17,The Presqu'île
18,Centre D'histoire De La Resistance Et De La Deportation
19,Croix-Rousse
20,La Place Bellecour
21,Musee des Tissus et des Arts Decoratif
22,Maison des Canuts
23,Memorial National de la Prison de Montluc
24,La Fontaine Bartholdi
25,Grand Hotel Dieu
26,La Renaissance Du Vieux Lyon
27,Place des Terreaux
28,Hôtel de Ville de Lyon
29,La Place des Jacobins
30,Musee de l'Imprimerie de Lyon
