Rank,Attraction
1,Tyl - Frontu Monument
2,Arena Metallurg
3,Ski center Metallurg-Magnitogorsk
4,Church of Ascension
5,Monument First Tent
6,Museum of Magnitogorsk Metallurgical  Plant
7,Lukomorye Recreation Park
8,Vodopad Chudes Aquapark
9,Magnitogorsk Pushkin Drama Theatre
10,Ecological Park
11,Museum of Military Equipment
12,Dancing Fontains
13,Central Stadium
14,Temple of Archangel Michael
15,Pervy Parovoz Monument
16,Magnitogorsk Local Lore Museum
17,Buratino Magnitogorsk Puppet Theatre
18,Children's Ice Dome
19,The Poet Boris Ruchyov's Apartment Museum
20,Magnitogorsk Opera and Ballet Theater
21,Magnitogorsk Art Gallery
22,The Church of St. Nicholas
23,Monument to Parents
24,The Left Bank Mosque
25,Obelisk Europe-Asia
26,I.H. Romazan Museum
27,Museum History Magnitostroy
28,Monument to Lermontov
29,The Church of St. Luke the Crimean
30,Monument to Street Cleaner and Plumber
