Rank,Attraction
1,Allagash Brewery
2,Acadia National Park
3,Coastal Highway U.S. 1
4,Moxie Falls
5,Peaks Island
6,Sebago Lake
7,Cadillac Mountain
8,Marginal Way
9,Mount Desert Island
10,Old Port
11,Stephen King's House
12,Walker's Point
13,Old Orchard Beach
14,Portland Museum of Art
15,Mount Battie
16,Victoria Mansion
17,Wells Beach
18,Ocean Avenue
19,Casco Bay Lines Ferry Terminal
20,Wolfe's Neck Woods State Park
21,Cabbage Island
22,Cole Land Transportation Museum
23,Casco Bay
24,Portland Observatory
25,Farnsworth Art Museum
26,Cape Neddick Nubble Lighthouse
27,Shore Path
28,Freeport Shopping Outlets
29,Saint Ann's Church
30,Rockland Breakwater Light
