Rank,Attraction
1,St. Stephan's Church (Stephanskirche)
2,Markt
3,Mainz Cathedral
4,Kirschgarten
5,Gutenberg Museum
6,The Museum of Ancient Shipbuilding
7,St. Augustine's Church
8,Fastnachtsbrunnen
9,Temple of Isis & Mater Magna
10,Opel Arena
11,Die Mainzer Zitadelle
12,Theodor-Heuss-Brücke
13,St. Peter
14,Mainzelmannchen Ampel
15,Provincial Museum of the Central Rhineland (Landesmuseum Mainz)
16,Mainz Hauptbahnhof
17,Nagelsäule
18,Botanischer Garten Mainz
19,Holzturm
20,Stadt Park
21,Gutenberg-Denkmal
22,Christuskirche
23,St Ignazkirche
24,Heunensaeule
25,Naturhistorisches Museum Mainz
26,St. Christoph-Kirche
27,Roman Aqueduct
28,Römisch-Germanisches Zentralmuseum
29,Unterhaus - Mainzer Forum Theater
30,Diocesan Museum (Diozesan Museum)
