Rank,Attraction
1,Makhachkala Grand Mosque
2,Dagestan Museum of Fine Art
3,Monument to Russian Teacher
4,Tarki-Tau
5,Monument to Rasul Gamzatov
6,National museum after A. Takho-Godi
7,Monument to Makhach Dakhadayev
8,Dagestan State Russian Gorki Drama Theater
9,Museum of Makhachkala City History
10,Dagestan State Puppet Theater
11,Observation Deck on Makhachkala
12,Monument TU-134
13,Avar Music and Drama Theater
14,Holy Assumption Cathedral
15,Museum of Military Glory
16,Kirov Statue
17,Historical Park Rossiya-Moya Istoriya
18,Monument to the Hero of Soviet Union Magomed Gadzhiyev
19,Dynamo Stadium
20,Dagestani Society of Hunters and Fishermen
21,Alburikentskaya Mosque
22,Makhachkala Theater Museum
23,Monument to Dagistan Fighters for the Soviet Regime
24,Really
25,Oktyabr Movie Theatre
26,Rossiya Cinema
27,Sarikum Dune
28,Krutti!
29,Karaoke Club Kaspiy
30,Marianna Apayeva Private Guide in Makhachkala
