Rank,Attraction
1,Oresund Bridge
2,Little Square
3,Kungsparken
4,HSB Turning Torso
5,Technology & Maritime Museum
6,St. Petri (St. Peter's Church)
7,Malmo City Library
8,Malmohus castle
9,Disgusting Food Museum
10,Södergatan Street
11,The Knotted Gun
12,Malmo City Hall
13,Ribersborgsstranden
14,Pildammsparken
15,Stortorget
16,Slottstradgarden
17,Moderna Museet - Malmo
18,Form Design Center
19,Folkets Park
20,Malmo Arena
21,Malmo Brewing Company
22,Katrinetorp
23,Davidshallsbron
24,Gamla Kyrkogården
25,Mollevangstorget
26,Apoteket Lejonet
27,Malmö Museer
28,Gustav Adolfs Torg
29,Gustus Butik & Gallery
30,Spectral Self Container
