Rank,Attraction
1,Canadian Museum for Human Rights
2,Assiniboine Park Zoo
3,Assiniboine Park
4,Birds Hill Provincial Park
5,West Hawk Lake
6,The Forks Market
7,Manitoba Museum
8,Itsanitaq Museum
9,Little Limestone Lake
10,Royal Canadian Mint
11,Fort Whyte Alive
12,Fairy Rock Lake
13,Lake Winnipeg
14,Leo Mol Sculpture Garden
15,Manitoba Legislative Building
16,Churchill Northern Studies Centre
17,Commonwealth Air Training Plan Museum
18,Duck Mountain Provincial Park
19,The Forks National Historic Site
20,Lake Manitoba
21,Arnes Farmers Market
22,Parks Canada Visitors Centre
23,Riverbank Discovery Centre
24,Gimli Viking Statue
25,Gimli Beach
26,Lake Metigoshe
27,Riding Mountain National Park
28,Mennonite Heritage Village
29,Gull Harbour Lighthouse
30,Shaw Park
