Rank,Attraction
1,Luisenpark
2,Mannheimer Wasserturm
3,Kunsthalle Mannheim
4,Technoseum Mannheim (ehemals Landesmuseum fuer Technik und Arbeit)
5,SAP Arena
6,Baroque Palace Mannheim
7,Jesuit Kirche
8,Planetarium Mannheim
9,Herzogenriedpark
10,Planken
11,Reiss-Engelhorn-Museen Mannheim
12,Fernmeldeturm Mannheim
13,Mannheim Hauptbahnhof
14,Q6 Q7 Das Quartier
15,Rosengarten Mannheim
16,Engelhorn
17,Altes Rathaus und Pfarrkirche St. Sebastian
18,Paradeplatz
19,Marktplatz
20,Zeitgeschichtliches Museum Mannheim
21,Christuskirche
22,Marktplatz Brunnen
23,NTM Nationaltheater Mannheim
24,Tourist Information
25,Mannheim Palace Church
26,Carl-Benz Stadion
27,Konrad-Adenauer-Brucke
28,Friedrich Schiller Denkmal
29,Capitol
30,Synagoge
