Rank,Attraction
1,Duomo di Milano
2,Il Cenacolo
3,Galleria Vittorio Emanuele II
4,Castello Sforzesco
5,Pinacoteca di Brera
6,Duomo Rooftops
7,Monumental Cemetery
8,Santa Maria delle Grazie
9,Teatro Alla Scala
10,I Navigli
11,Brera District
12,Chiesa di San Maurizio al Monastero Maggiore
13,Villa Necchi Campiglio
14,Piazza Gae Aulenti
15,Piazza del Duomo
16,Sempione Park
17,Stadio Giuseppe Meazza (San Siro)
18,Pinacoteca Ambrosiana
19,Bosco Verticale
20,Museo Poldi Pezzoli
21,Basilica di Sant'Ambrogio
22,Gallerie d’Italia
23,Chiesa di San Bernardino alle Ossa
24,Chiesa di Santa Maria presso San Satiro
25,Museo Della Scienza E Della Tecnologia Leonardo da Vinci
26,UniCredit Tower
27,Arco della Pace
28,Casa Degli Atellani - La Vigna Di Leonardo
29,Museo del Novecento
30,Bagatti Valsecchi Museum
