Rank,Attraction
1,Harley-Davidson Museum
2,Milwaukee Art Museum
3,American Family Field
4,Lakefront Brewery
5,Milwaukee County Zoo
6,Milwaukee Public Museum
7,Milwaukee Public Market
8,Pabst Mansion
9,Historic Third Ward
10,Basilica of St. Josaphat
11,Miller Brewery Tour
12,Milwaukee RiverWalk
13,Discovery World
14,Great Lakes Distillery
15,Chudnow Museum of Yesteryear
16,Henry Maier Festival Park
17,Mitchell Park Horticultural Conservatory (The Domes)
18,Milwaukee Brewing Co.
19,Lake Express
20,Grohmann Museum
21,Fiserv Forum
22,North Point Lighthouse
23,Veteran's Park
24,Frank Lloyd Wright American System-Built Homes
25,Lakeshore State Park
26,Summerfest
27,Old World 3rd St.
28,Bronze Fonz
29,MobCraft Beer
30,Bradford Beach
