Rank,Attraction
1,Acetaia Giuseppe Giusti
2,Casa Museo Luciano Pavarotti
3,Acetaia Villa San Donnino
4,Museo Casa Enzo Ferrari
5,Duomo di Modena
6,Panini Motor Museum
7,Mercato Albinelli
8,Piazza Grande
9,Galleria Estense
10,Ghirlandina
11,Palazzo Ducale
12,Acetaia Malpighi
13,Museo della Figurina
14,Piazza Roma
15,Centro Storico
16,Monastero San Pietro dei Monaci Benedettini
17,Palazzo dei Musei
18,Piazza della Pomposa
19,Palazzo Comunale di Modena
20,Chiesa di Sant'Agostino
21,Teatro Comunale Luciano Pavarotti
22,Collegio San Carlo Modena
23,4 Madonne Caseificio dell'Emilia
24,Acetaia San Matteo
25,Grandemilia
26,IAT - Ufficio Informazione ed Accoglienza Turistica
27,Preda Ringadora
28,Via Emilia Centro
29,Biblioteca Estense Universitaria
30,Musei del Duomo
