Rank,Attraction
1,Tidal Bore
2,Magnetic Hill Zoo
3,Centennial Park
4,RCMP Memorial
5,Magic Mountain
6,Magnetic Hill Park
7,Irishtown Nature Park
8,Magnetic Hill Winery
9,Casino New Brunswick
10,Resurgo Place
11,TreeGO - Moncton
12,Riverfront Park
13,Capitol Theatre
14,Musee Acadien
15,Avenir Centre
16,Butterfly World and the Boardwalk
17,Mapleton Park
18,Thomas Williams House
19,Moncton Public Library
20,MR21
21,Apple Art Gallery
22,Lutz Mountain Heritage Museum
23,The Play Cafe Inc.
24,Notre-Dame of the Sacred Heart
25,Free Meeting House
26,Magnet Hill
27,Victoria Park Arts & Crafts Fair
28,Theatre L'Escaouette
29,Moncton Gallery
30,Notre-dame-de-grace
