Rank,Attraction
1,Wochenmarkt Muenster
2,Lake Aasee
3,Muenster Cathedral (St. Paulus Dom)
4,Botanical Garden Münster
5,Historisches Rathaus Münster
6,Allwetterzoo Munster
7,LWL-Museum für Kunst und Kultur
8,LWL-Museum für Naturkunde Westfälisches Landesmuseum mit Planetarium
9,St Lambert's Church
10,Stadthafen
11,City Museum (Stadtmuseum)
12,Friedenssaal - Peace Hall
13,Kunstmuseum Pablo Picasso Muenster
14,Muhlenhof Freilichtmuseum
15,Promenade
16,Kiepenkerl Denkmal
17,Schloss Münster
18,Dominikanerkirche
19,Biologische Station Rieselfelder
20,Lambertikirche
21,Clemenskirche
22,Liebfrauen- oder Überwasserkirche
23,Lackkunstmuseum
24,Stadtbücherei Münster
25,Ludgeri-Kirche
26,Haus Ruschhaus
27,Archaeological Museum
28,Erbdrostenhof
29,University of Münster
30,Wolfgang Borchert Theater
