Rank,Attraction
1,Mytishchi Park of Culture and Leisure
2,Moscow Brewing Company
3,Fest Mytishchi Drama and Comedy Theater
4,Ice Palace Arena Mytischi
5,Kva-Kva Park
6,Petrushkina Sloboda
7,Monument to Plane Po-2
8,AV-Park
9,Church of the Annunciation of the Blessed Virgin
10,Touching Zoo White Kangaroo
11,XL Family Outlet
12,Ognivo Mytishchi Municipal Puppet Theater
13,Church of the Vladimir Icon of the Mother of God
14,Cathedral of the Nativity of Christ
15,Mytishi Art Gallery
16,Monument Samovar
17,Mytischi Historical Art Museum
18,Don Temple
19,Iyun
20,Museum of Einstein
21,Volkovskoye Cemetery
22,Perlovskiy Park
23,Monument to Mytishchi Plumbing
24,Monument Self-Propelled Gun ZSU-23-4 Shilka
25,Sculpture of Street Sweeper
26,Leisure Zone Podrezovo
27,Temple of the Healer Panteleimon
28,Monument to Raspopova
29,Mytishhi Museum of Conservation
30,Chapel of the Blessed Matrona of Moscow
