Rank,Attraction
1,Neck Point Park
2,Harbourfront Walkway
3,Newcastle Island
4,Pipers Lagoon Park
5,Westwood Lake Park
6,BC Ferries
7,Maffeo Sutton Park
8,Nanaimo Museum
9,Colliery Dam Park
10,Jack Point and Biggs Park
11,Protection Island
12,Ammonite Falls
13,Cable Bay Trail
14,Bowen Park
15,Extension Ridge & The Abyss
16,The Bastion
17,White Sails Brewing
18,The Port Theatre
19,Old City Quarter
20,Woodgrove Centre
21,Morrell Sanctuary
22,Swy-a-Lana Park
23,Petroglyph Provincial Park
24,Vancouver Island Military Museum
25,Haslam Creek Suspension Bridge
26,Casino Nanaimo
27,Nanaimo Aquatic Centre
28,Cedar Farmers Market
29,Hemer Provincial Park
30,Beban Park
