Rank,Attraction
1,Jardin des Plantes
2,Les Machines de L'ile
3,Passage Pommeraye
4,Château des Ducs de Bretagne
5,Le Voyage A Nantes
6,Cathedrale de Saint-Pierre et Saint-Paul
7,Jardin Ile de Versailles
8,Tour Bretagne
9,Musée d'Arts de Nantes
10,Ferme de la Chasseloire
11,Village de Trentemoult
12,Office de Tourisme de Nantes
13,Musee d'histoire naturelle de Nantes
14,Zenith de Nantes
15,Parc de Procé
16,Le Maillé-Brézé
17,Place Royale
18,Parc de la Beaujoire
19,Chateau de Goulaine
20,Le Sporting Club
21,Basilique Saint Nicolas
22,Mémorial de l'Abolition de l'Esclavage
23,Voie Verte Carquefou - Saint-Mars-la-Jaille
24,Le Miroir d'Eau
25,Le lieu unique
26,Place Graslin
27,Planetarium
28,Belem
29,Brasserie la Hulotte
30,Le Chronographe
