Rank,Attraction
1,Irving Nature Park
2,Tidal Bore
3,Bay Ferries
4,Bay Of Fundy
5,Magnetic Hill Zoo
6,Centennial Park
7,Fredericton Boyce Farmers Market
8,RCMP Memorial
9,Magic Mountain
10,Grand Manan Island
11,Magnetic Hill Park
12,Irishtown Nature Park
13,Reversing Falls Rapids
14,Moosehead Breweries
15,Magnetic Hill Winery
16,Casino New Brunswick
17,Kingsbrae Garden
18,Campobello Island
19,Resurgo Place
20,TreeGO - Moncton
21,Saint John City Market
22,Shediac's Giant Lobster
23,Beaverbrook Art Gallery
24,New Brunswick Museum
25,Parlee Beach
26,Riverfront Park
27,Capitol Theatre
28,Odell Park
29,Rockwood Park
30,Fundy Trail Parkway
