Rank,Attraction
1,Georgia O'Keeffe Museum
2,Sandia Peak Tramway
3,Santa Fe Plaza
4,Canyon Road
5,White Sands National Monument
6,Santa Fe Opera House
7,Rio Grande Gorge Bridge
8,The Cathedral Basilica of St. Francis of Assisi
9,Lincoln National Forest
10,Roswell Museum & Art Center
11,Meow Wolf Santa Fe
12,Museum of International Folk Art
13,Dripping Springs Natural Area
14,Bottomless Lakes State Park
15,New Mexico State Capitol (Roundhouse)
16,El Rancho de las Golondrinas
17,Loretto Chapel
18,Taos Pueblo
19,International UFO Museum and Research Center
20,Enchanted Circle Drive
21,Sitting Bull Falls
22,Indian Pueblo Cultural Center
23,Ski Santa Fe
24,The National Museum of Nuclear Science & History
25,Petroglyph National Monument
26,High Road to Taos
27,Old Mesilla Village
28,Albuquerque International Balloon Fiesta Presented by Canon
29,Osha Trail
30,New Mexico Museum of Space History
