Rank,Attraction
1,Branch Brook Park
2,Prudential Center
3,New Jersey Performing Arts Center
4,Cathedral Basilica of the Sacred Heart
5,Newark Museum
6,Ironbound
7,Newark Penn Station
8,Newark Public Library
9,St. Lucy's Church
10,AirTrain Newark
11,Military Park
12,Grammy Museum Experience Prudential Center
13,All Points West Distillery
14,Gateways to Newark: Portraits
15,The New Jersey Historical Society
16,Museum of the Old First Ward
17,Mount Pleasant Cemetery
18,Weequahic Park
19,The Jewish Museum of New Jersey
20,Greater Newark Convention and Visitors Bureau
21,Newark Symphony Hall
22,Art & Lounge
23,Greater Newark Conservancy
24,Have You Met Newark Tours
25,New Jersey Transit
26,Empire Limousine
27,Krug's Tavern
28,Hell's Kitchen Lounge
29,Jimenez Tobacco Speakeasy
30,CityPlex 12
