Rank,Attraction
1,Signal Hill
2,Cape Spear Lighthouse National Historic Site
3,The Dark Tickle Co.
4,The Rooms
5,East Coast Trail
6,Irish Loop
7,Corner Brook Stream Trail
8,Marble Mountain
9,Point Riche Lighthouse
10,Captain James Cook Historic Site
11,Jellybean Row Houses
12,Long Point Lighthouse
13,Cape Norman Lighthouse
14,North Head Trail
15,Quirpon Island
16,Western Brook Pond
17,Terry Fox Monument
18,Dildo Run Provincial Park
19,Quidi Vidi Brewery
20,Cape Bonavista Lighthouse
21,George Street
22,Quidi Vidi
23,Sullivan's Songhouse
24,Gros Morne National Park
25,Prime Berth Fishing Museum
26,North Atlantic Aviation Museum
27,Cabot Tower
28,Rising Tide Theatre
29,Port aux Basques Channel Lighthouse
30,The Tablelands
