Rank,Attraction
1,The Mariners' Museum & Park
2,Virginia Living Museum
3,The Noland Trail
4,Newport News Park
5,U.S. Army Transportation Museum
6,USS Monitor Center
7,Virginia War Museum
8,Lee Hall Mansion
9,Newport News Visitor Center
10,Huntington Park
11,Peninsula Fine Arts Center
12,Endview Plantation
13,SPCA Petting Zoo
14,Victory Arch
15,Patrick Henry Mall
16,Dean and Don's Farmer's Market
17,Ironclad Distillery
18,The Newsome House Museum and Cultural Center
19,Hampton Roads Iceplex
20,Battle of Lee’s Mill -Dam Number 1
21,Skiffes Creek Redoubt
22,Victory Landing Park
23,Paragon City Center 12
24,Breakout Games - Newport News
25,Ferguson Center for the Arts
26,Zenith
27,LazerRush
28,Regal Kiln Creek Stadium 20
29,Speed Club Center
30,Wine and Design
