Rank,Attraction
1,Old Town
2,Castle Hill of Nice
3,Promenade des Anglais
4,Marc Chagall National Museum
5,Cathedrale Saint-Nicolas a Nice
6,Place Massena
7,Marché aux Fleurs Cours Saleya
8,Cathedrale Sainte-Reparate
9,Musée Massena
10,Place Garibaldi
11,Parc forestier du Mont-Boron
12,Phoenix Parc Floral de Nice
13,Basilique Notre-Dame de Nice
14,Monastere de Cimiez
15,Castel Plage
16,Train des Merveilles
17,Jardin du Monastère de Cimiez
18,Avenue Jean Medecin
19,Musee Matisse
20,Le Petit Train de Nice
21,Le Jardin Albert 1er
22,Palais Lascaris
23,Mt Boron
24,Fort Mont-Alban
25,Musée d'Art Moderne Et d'Art Contemporain
26,Place Rossetti
27,Opera de Nice
28,Blue Beach
29,Parc des Arènes de Cimiez
30,Musee des Arts Asiatiques de Nice
