Rank,Attraction
1,Cyprus Museum
2,Buyuk Han
3,Machairas Monastery
4,Pivo microbrewery
5,Panagia Asinou Church
6,A. G. Leventis Gallery
7,Shacolas Tower Museum & Observatory
8,Monument to The First President of Cyprus Archbishop Makarios III
9,Leventis Municipal Museum of Nicosia
10,Athalassa National Park
11,Ledra Street Crossing Point
12,Church of St. Cyprian and St. Ustinov
13,Melios Zoo
14,Sacred Temple Of Virgin Mary Faneromenis
15,Cyprus Classic Motorcycle Museum
16,Riverland Bio Farm
17,Selimiye Mosque
18,Liberty Monument
19,Nicosia Open Market
20,Nicosia Mall
21,The Museum of Barbarism
22,Petrides Farm Park
23,Venetian walls of Nicosia
24,Paphos Gate
25,Tomb of Makarios III
26,Cyprus Folk Art Museum
27,The Mall Of Cyprus
28,Famagusta Gate
29,Church of Archangel Michael Trypiotis
30,Archbishop Makarios III Foundation - Byzantine Museum and Art Galleries
