Rank,Attraction
1,Red Cross Nazi Concentration Camp
2,Bubanj Memorial Park
3,Nis Fortress
4,Skull Tower
5,Holy Trinity Cathedral
6,Archaeological Hall
7,Nishava
8,The Monument of Stevan Sremac and Kalca
9,Bali-Begova Mosque
10,Monument to the Liberators of Nis
11,Vinski Podrum Malca
12,St. Sava Park
13,Bazen Cair
14,Tinkers Alley
15,Mediana
16,Saban Bajramovic Monument
17,King Milan Square
18,Monument to the Victims of NATO Bombardment in 1999
19,Spomenik prirode
20,Stambolija House
21,Hram Svetog Pantelejmona
22,Christogram Monument
23,Cair’s Fountain
24,The City Hall
25,The Church of Holy Emperor Constantine and Empress Hellen
26,King Aleksandar Monument
27,Banovina
28,Cerje Cave
29,Prizrenska Bogoslovija Sv. Kirila I Metodija
30,Seventh Of July Park
