Rank,Attraction
1,Riverfront Park
2,Tanger Outlets Charleston
3,North Charleston and American LaFrance Fire Museum and Educational Center
4,Warren Lasch Conservation Center - H.L. Hunley Submarine
5,Holy City Brewing
6,Wannamaker County Park
7,Whirlin' Waters Adventure Park
8,Frankie's Fun Park
9,North Charleston Coliseum & Performing Arts Center
10,Charleston Area Convention Center
11,Freehouse Brewery
12,Northwoods Mall
13,Rusty Bull Brewing Co.
14,Commonhouse Aleworks
15,Charleston Southern University
16,Denmark Vesey Monument
17,Carolina Ice Palace
18,Monkey Joe's
19,Quarterman Park
20,Midtown Theatre
21,Coast Brewing Company
22,Firefly Distillery
23,North Charleston Visitor Center
24,South of Broadway Theatre Company
25,Holy City Helicopters
26,Chucktown Axe Throwing
27,SoCa Day Spa
28,Madra Rua Irish Pub - Park Circle
29,Velocity Air Sports
30,Mr. K's Used Books
