Rank,Attraction
1,Fargo-Moorhead Visitors Center
2,The Dakota Zoo
3,Knife River Indian Villages Historic Site
4,Red River Zoo
5,Ralph Engelstad Arena
6,Theodore Roosevelt National Park
7,Bonanzaville
8,Scandinavian Heritage Park
9,Flood Memorial Monument
10,University of North Dakota
11,North Dakota State Capitol Building
12,Fargo Air Museum
13,Drekker Brewing Company
14,River Cities Speedway
15,Missouri River
16,Roosevelt Park Zoo
17,Splasher's of the South Seas
18,North Dakota Museum of Art
19,Japanese Gardens
20,Alerus Center
21,Painted Canyon Overlook
22,Fort Union Trading Post
23,Roger Maris Museum
24,West Acres Shopping Center
25,Thunder Road Amusement Park
26,Dickinson Museum Center
27,Laughing Sun Brewing Co.
28,Memorial Park
29,Badlands Overlook
30,Newman Outdoor Field
