Rank,Attraction
1,Lake Matka
2,Lake Ohrid
3,"Old Bazaar, Skopje"
4,Monastery of Saint Naum
5,Mountain of Vodno
6,Macedonia Square
7,Heraclea
8,Shirok Sokak Street
9,Millennium Cross
10,St. Jovan Kaneo
11,The Stone Bridge
12,Memorial House of Mother Teresa
13,National Park Pelister
14,National Park Galicica
15,River Drim
16,Skopje Fortress Kale
17,Matka Canyon
18,Holocaust Memorial Centre
19,Bitola Museum
20,Archaeological Museum of Macedonia
21,Mavrovo National Park
22,Warrior on a Horse
23,Painted Mosque Sarena Dzamija
24,Saint Archangel Michael Cave Church
25,Church of St. Panteleimon
26,Mustafa Pasha Mosque
27,Mavrovo Lake
28,Tsar Samuel's Fortress
29,Bay of the Bones Museum
30,Markovi Kuli (Marko's Towers)
