Rank,Attraction
1,Prince of Wales Northern Heritage Centre
2,Cameron Falls Trail
3,Bush Pilot's Monument
4,Old Town
5,The Legislative Assembly Building
6,Wood Buffalo National Park
7,Yellowknife City Hall & Park
8,Frame Lake Trail
9,Yellowknife Visitor Centre and Information
10,Cameron River Ramparts
11,Prelude Lake Territorial Park
12,Niven Lake Trail
13,Down to Earth Gallery
14,Igloo Church
15,Fred Henne Territorial Park
16,Happy Valley Territorial Park
17,Northern Images
18,Twin Falls Territorial Park
19,Reid Lake Territorial Park
20,Aurora Emporium Art Gallery
21,Nahanni National Park Reserve
22,Pingo Canadian Landmark
23,Hidden Lake Territorial Park
24,Great Slave Lake
25,Western Arctic Regional Visitor Center
26,Jàk Territorial Park
27,Centre Square Mall
28,Fort Simpson Territorial Park
29,Northern Arts and Cultural Centre
30,Yellowknife River Territorial Park Day Use Area
