Rank,Attraction
1,Fram Museum
2,Mount Floyen and the Funicular
3,Fjellheisen Tromso
4,Viking Ship Museum
5,Lysefjord
6,Tromso Fjords
7,Norsk Folkemuseum
8,Old Stavanger
9,The Flam Railway
10,Flor og Fjære
11,Vigeland Park
12,Fjellstua Viewpoint
13,Norwegian Petroleum Museum
14,Geiranger Fjord
15,Trolltunga
16,Dyreparken
17,Nasjonal Turistveg Lofoten
18,Saltstraumen
19,The Norwegian National Opera & Ballet
20,Oslo Fjord
21,Norwegian Aviation Museum
22,Baneheia
23,Ravnedalen Naturpark
24,Lofoten Krigsminne Museum
25,North Cape
26,Brekkefossen
27,The Polar Museum
28,Briksdal Glacier (Briksdalbreen)
29,Svalbard Museum
30,Holmenkollen Ski Museum
