Rank,Attraction
1,Wollaton Hall and Park
2,National Justice Museum
3,City of Caves
4,The Arboretum
5,Theatre Royal & Royal Concert Hall
6,The Haunted Museum
7,Old Market Square
8,Nottingham Industrial Museum
9,Stonebridge City Farm
10,Green's Windmill
11,The Adrenalin Jungle
12,Nottingham trams
13,Motorpoint Arena Nottingham
14,Highfields
15,East Bridgford Garden & Home
16,Framework Knitters' Museum
17,The Robin Hood Experience
18,Robin Hood Statue
19,Nottingham Playhouse
20,Nottingham Contemporary Art Gallery
21,St. Mary's Church
22,Nottingham Greyhound Stadium
23,Nottingham Racecourse
24,Nottingham Castle Wharf Canalside
25,Brian Clough Statue
26,Floralands Farm Park
27,Bestwood Country Park
28,intu Victoria Centre
29,Nottingham Train Station
30,William Booth Birthplace Museum
