Rank,Attraction
1,Cruiser Mikhail Kutuzov Museum
2,Malaya Zemlja V Novorossijske Memorial Complex
3,Abrau-Durso Winery
4,Observation deck 7 winds
5,Sudzhukskaya Bay-Bar
6,Monument to Sailors of Revolution
7,Monument to the Wifes of Sailors
8,Dodo Wildlife Park
9,Gagarin Planetarium
10,Light Gallery  of  Abrau
11,Hermitage of Feodosiy Kavkazskiy
12,V. Lenin Park of Culture and Leisure
13,Exodus Monument
14,Monument Ensemble Line of Defense
15,Art Park
16,Aleksino Beach
17,Durso Beach
18,Historical Complex Abrau-Durso
19,Dolmen Complex
20,Monument to the Unknown Sailor
21,Novorossiysk Historical Museum Reserve
22,Monument to the Founders of Novorossiysk
23,Temple of Martyrs and Confessors of Russia
24,Central Stadium
25,Ruins of the Palace of Culture
26,Singing Fountains
27,Torpedo Boat Memorial
28,Central Beach of Novorossiysk
29,Temple of St. Ksenia of St. Petersburg
30,Novorossiysk Dolphinarium Sea Life
