Rank,Attraction
1,Oracle Arena
2,Oakland Museum of California
3,Redwood Regional Park
4,Oakland Zoo
5,San Francisco Bay Ferry
6,Lake Merritt
7,Jack London Square
8,The Cathedral of Christ the Light
9,Mountain View Cemetery
10,Chabot Space & Science Center
11,Children's Fairyland
12,Fox Theater
13,USS Potomac
14,Escape Lounge
15,Oakland California Temple
16,Oakland-Alameda County Coliseum
17,Joaquin Miller Park
18,GSBF Bonsai Garden at Lake Merritt
19,Chinatown
20,Bay Bridge Trail
21,Grand Lake Theater
22,Oakland Aviation Museum
23,East Bay Regional Park District
24,Jack London's Cabin
25,Morcom Amphitheater of Roses
26,Swan's Market
27,Woodminster Amphitheater
28,Lakeside Park and Garden Center
29,Capitol Corridor
30,Old Oakland
